"REF_DATE","GEO","DGUID","Vehicle Type","Fuel Type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858041","2.3.3.1","836","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858042","2.3.4.1","21","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858043","2.3.5.1","460","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858044","2.3.6.1","81","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Passenger cars, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858045","2.3.7.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858046","2.4.1.1","101803","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858047","2.4.2.1","101213","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858048","2.4.3.1","392","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858049","2.4.4.1","3","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858050","2.4.5.1","193","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858051","2.4.6.1","2","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Multi-purpose vehicles, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858052","2.4.7.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858053","2.5.1.1","103107","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858054","2.5.2.1","98331","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858055","2.5.3.1","4773","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858056","2.5.4.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858057","2.5.5.1","2","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858058","2.5.6.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Pickup trucks, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858059","2.5.7.1","1","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858060","2.6.1.1","18699","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858061","2.6.2.1","18429","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858062","2.6.3.1","267","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Battery electric","Number of vehicles","Number","223","units","0","v1446858063","2.6.4.1","1","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Hybrid electric","Number of vehicles","Number","223","units","0","v1446858064","2.6.5.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Plug-in hybrid electric","Number of vehicles","Number","223","units","0","v1446858065","2.6.6.1","0","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Vans, weighing less than 4,535 kilograms","Other fuel types","Number of vehicles","Number","223","units","0","v1446858066","2.6.7.1","2","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Other vehicles, weighing less than 4,535 kilograms","All fuel types","Number of vehicles","Number","223","units","0","v1446858067","2.7.1.1","184","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Other vehicles, weighing less than 4,535 kilograms","Gasoline","Number of vehicles","Number","223","units","0","v1446858068","2.7.2.1","126","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Other vehicles, weighing less than 4,535 kilograms","Diesel","Number of vehicles","Number","223","units","0","v1446858069","2.7.3.1","58","","","","0"
